Paddock,Channel,Section,CPTu,PiezometerID,SNumber,Logger,certificate_date,G,Tk,CF,A,B,C,R0,Tm,S0,IB_ReadingB,IB_ Temp_C,IB_Barometer_mbar,Comentarios
Z1,1,16,CPT18-33B,VW-ZD-02,1833535,16301,9/20/2018,-0.2599,-0.004913,,-1.66E-06,-0.2431,2349.947914,9101,24,1003.2,9119.6,27,,
Z1,1,16,CPT18-20B,VW-ZD-01,1833538,16546,9/20/2018,-0.2685,-0.08668,,-1.16E-06,-0.2519,2365.041652,9014,23.9,1003.2,9036.7,25.6,,
Y1/Y2,1,17,CPT18-22,VW-Y2-02,1833524,9926,9/20/2018,-0.2604,-0.02424,,-1.13E-06,-0.2444,2289.012152,8992,23.6,993.9,9007.7,17.1,,
Y1/Y2,1,,CPT 18-35,VW-YB-01,1833527,3023,9/20/2018,-0.2714,-0.05197,,-1.21E-06,-0.254,2402.909205,9070,22.8,993.9,9100.9,28.2,,
RDS,3,7-8,CPT13 14,VW 31,53950,1876,12/23/2015,0.15331,,,-2.82E-07,-0.1504821,910.9769242,5986.6,24,1013,,,,Blurred certificate
RDS,2,7-8,CPT13 14,VW 32,53953,1876,12/23/2015,0.14798,,,-4.33E-09,-0.1479375,904.4001593,6112.3,24,1013,,,,
RDS,2,7-8,CPT15-16,VW 34,53962,1819,12/23/2015,0.15415,,,-2.62E-07,-0.151608,890.9649136,5818.3,22,1020,,,,
RDS,1,7-8,CPT13 14,VW33,53965,1876,12/23/2015,0.15183,,,-5.96E-07,-0.1460385,874.2646035,5847,22,1020,,,,
RDS,4,7-8,CPT13 14,VW 30,53968,1876,12/23/2015,0.1799,,,-5.30E-07,-0.1741715,1106.783077,6236.2,22,1020,,,,
RDS,5,7-8,CPT13 14,VW 29,53973,1876,12/23/2015,0.15547,,,-5.72E-07,-0.1498226,904.2419625,5902.4,22,1020,,,,
RDS,3,7-8,CPT15-16,VW 37,53974,1819,12/23/2015,0.17787,,,-7.34E-07,-0.1857529,1181.810014,6209.8,22,1020,,,,
RDS,4,7-8,CPT15-16,VW 36,53975,1819,12/23/2015,0.16817,,,-3.63E-08,-0.1685322,982.9309167,5825,22,1020,,,,
RDS,1,7-8,CPT15-16,VW 35,53983,1819,12/23/2015,0.16253,,,-2.77E-07,-0.1596073,997.5219233,6183.4,22,1020,,,,
RDS,2,7-8,CPT18-07,VW-RDS-02,1833519,9548,9/20/2018,-0.2578,-0.03389,,-8.40E-07,-0.2464,2220.3125,8750,24.6,993.9,8755.9,17.4,,
RDS,1,7-8,CPT18-30,VW-RDS-01,1833521,9548,9/20/2018,-0.2662,-0.04337,,-1.13E-06,-0.2498,2376.386391,9135,23.7,993.9,9156.5,17.5,,
E1/E2,1,E2-1,,E2-1,64913,20696,8/23/2019,,0.18252,0.18914,-3.90E-07,-0.18374,1640.63121,8766,18.6,1015.6,8796.1,32.1,950.7,
E1/E2,1,E2-2,,E2-2,64912,21008,8/23/2019,,0.031145,0.19166,-2.94E-07,-0.18761,1660.033149,8729,18.6,1015.6,8767.8,30.8,950.7,
E1/E2,1,E2-3,,E2-3,64911,21024,8/23/2019,,0.1519,0.1935,-4.10E-07,-0.18777,1679.998734,8779,18.7,1015.6,8796.6,31.4,950.7,
E1/E2,1,E2-4,,E2-4,64910,20764,8/23/2019,,0.17361,0.19025,-2.34E-07,-0.18704,1646.856185,8710,18.7,1015.6,8744.7,28,950.7,
